IssueId,Description
1,Teacher attendance- Teacher marks their presence from school and goes back to school after/ during CLSS in order to mark 'out' attendance. This needs to be worked with Mr. Vivek Mishra Ji from VSK.
2,Integration of CLSS module with Education Portal 3.0 so that all the CLSS hours can be counted towards total CPD hours.
3,New DIET (TI) and APC has been appointed in Vidisha. Role mapping is not visible to him on his RSKMP id. Requesting your support to resolve this with Mr. Sourabh Jain.
4,DO and CLSS could not happen at Sehore and Dewas because the positions of CAC are vacant.
5,"DO happened at 48 district as per RSKMP.  Total number of forms filled by facilitators- 77 (74%), observers- 60 and participants- 4478 (72%) as per RSKMP potal. 
(DO for Mauganj, Maihar and Pandhurna took place with their mother DIETs)"
6,DO for Anuppur and Khandwa happened on Saturday and the feedback responses have been recorded via Google form. Response data for the same will be shared over email.
7,"CLSS happened at 50 districts (96%), 314 blocks (98%) and 2851 clusters (92%)."
8,"Total participation in CLSS: Facilitators- 4841 (78%), Monitors- 518 and Participants- 23926."
9,"A detailed report including scale of the program, quality of the program and feedback with respect to the content delivered during CLSS will be shared by mid- September."
