Program,Role,District,QuestionId,MetricName,CorrectCount,TotalRespondents,AccuracyPct
DO,Participant,Shahdol,45,45_Correct,37.0,83.0,44.58
DO,Participant,Shajapur,45,45_Correct,22.0,64.0,34.38
DO,Participant,Sheopur,45,45_Correct,28.0,50.0,56.0
DO,Participant,Shivpuri,45,45_Correct,26.0,116.0,22.41
DO,Participant,Sidhi,45,45_Correct,34.0,92.0,36.96
DO,Participant,Singrauli,45,45_Correct,8.0,39.0,20.51
DO,Participant,Tikamgarh,45,45_Correct,29.0,68.0,42.65
DO,Participant,Ujjain,45,45_Correct,46.0,114.0,40.35
DO,Participant,Umaria,45,45_Correct,33.0,65.0,50.77
DO,Participant,Vidisha,45,45_Correct,61.0,115.0,53.04
DO,Participant,Total,45,45_Correct,1751.0,4454.0,39.31
