BlockName,Monitors,Facilitators,Participants
PRABHAT PATTAN,0,12,63
PRATHVIPUR,4,20,71
PUNASA,3,16,95
PUSHPRAJ GARH,1,32,80
RAGHOGARH,4,16,85
RAHATGARH,1,11,60
RAIPUR(K),0,14,45
RAJGARH,4,23,122
RAJNAGAR,1,20,145
RAJPUR,1,19,74
RAM NAGAR,1,24,28
RAMA,2,20,80
RAMPUR BAGHELAN,2,28,80
RAMPUR NAIKIN,0,19,107
RANAPUR,1,14,38
RATLAM,0,29,205
RAUN,3,13,56
REHLI,1,11,37
REWA,0,31,109
RITHI,0,11,59
SABALGARH,7,18,114
SAGAR,5,25,83
SAIKHEDA,0,7,40
SAILANA,1,21,136
SAMNAPUR,0,8,33
SANCHI,2,22,101
SANWER,0,24,82
SARANGPUR,1,13,113
SARDARPUR,0,15,89
SAUSAR,0,8,54
SEGAON,7,12,41
SENDHWA,1,13,74
SEONDHA,10,21,131
SEONI,0,22,127
SHAHGARH,1,10,46
SHAHNAGAR,1,25,112
SHAHPUR,1,11,83
SHAHPURA,3,21,137
SHAJAPUR,3,20,109
SHEOPUR,11,18,101
SHIVPURI,3,23,86
SHUJALPUR,2,14,97
SIDHI,0,27,130
SIHAWAL,1,26,109
SIHORA,0,14,51
SILWANI,5,17,67
SIRMOUR,1,19,54
SIRONJ,0,16,95
SITAMAU,0,20,121
SIVNI MAALVA,1,12,74
SOHAGPUR,1,26,170
SOHAWAL,3,31,102
SONDWA,4,16,63
SUSNER,0,11,72
TAMIA,0,13,60
TARANA,2,22,86
TENDUKHEDA,0,13,52
TEONTHAR,0,4,4
THANDLA,0,22,76
THIKRI,0,15,121
TIKAMGARH,1,17,64
TIMARNI,1,16,81
TIRLA,0,5,49
UDAIPURA,2,17,67
UDAYGARH,3,12,43
UJJAIN RURAL,0,10,79
UJJAIN URBAN,1,7,34
UMARBAN,0,12,74
UNCHERA,1,16,51
VIDISHA,1,24,116
VIJAY RAGHAVGARH,0,12,67
VIJAYPUR,7,18,87
WAIDHAN,0,26,72
WARA SEONI,0,11,83
ZIRAPUR,0,18,114
Total,516,4814,23785
